category,factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
Residuos,RES_12637BBD6CA483,España,,Construcción / Set promedio,Construcción / Set promedio,,,Reciclaje (Bucle abierto),kg,2022,,2022,0.00098470835,kgCO2e/kg,ANNUAL,,DEFRA,source_row=20,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_0740EDD4C254E8,España,,Construcción / Set promedio,Construcción / Set promedio,,,Reciclaje (Bucle abierto),kg,2023,,2023,0.00098491,kgCO2e/kg,ANNUAL,,DEFRA,source_row=20,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_F171251113FC52,España,,Construcción / Set promedio,Construcción / Set promedio,,,Reciclaje (Bucle abierto),kg,2024,,2024,0.00098485,kgCO2e/kg,ANNUAL,,DEFRA,source_row=20,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_3DA42A64CD44C3,España,,Construcción / Set promedio,Construcción / Set promedio,,,Reciclaje (Bucle abierto),kg,2025,,2025,0.00100835,kgCO2e/kg,ANNUAL,,DEFRA,source_row=20,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_76DB0025F09651,España,,Construcción / Set promedio,Construcción / Set promedio,,,Reciclaje (Bucle abierto),kg,2026,,2026,0.00101398,kgCO2e/kg,ANNUAL,,DEFRA,source_row=20,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_11F713EA7D32D6,España,,Construcción / Set promedio,Construcción / Set promedio,,,Combustión / Incineración (recuperación de energía),kg,2022,,2022,0.0212801937984496,kgCO2e/kg,ANNUAL,,DEFRA,source_row=21,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_A724947A608E61,España,,Construcción / Set promedio,Construcción / Set promedio,,,Combustión / Incineración (recuperación de energía),kg,2023,,2023,0.0212808072368763,kgCO2e/kg,ANNUAL,,DEFRA,source_row=21,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_4302FACEA63AE1,España,,Construcción / Set promedio,Construcción / Set promedio,,,Combustión / Incineración (recuperación de energía),kg,2024,,2024,0.00641061,kgCO2e/kg,ANNUAL,,DEFRA,source_row=21,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_5E22C4C951204B,España,,Construcción / Set promedio,Construcción / Set promedio,,,Combustión / Incineración (recuperación de energía),kg,2025,,2025,0.00468568,kgCO2e/kg,ANNUAL,,DEFRA,source_row=21,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_F9D7901CEE4D18,España,,Construcción / Set promedio,Construcción / Set promedio,,,Combustión / Incineración (recuperación de energía),kg,2026,,2026,0.00465358,kgCO2e/kg,ANNUAL,,DEFRA,source_row=21,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Residuos,RES_A68605A227C1EF,España,,Textil,Textil,,,Reciclaje (Circuito cerrado),kg,2022,,2022,0.0212801937984496,kgCO2e/kg,ANNUAL,,DEFRA,source_row=24,,FALSE,FALSE,VALIDATED_FROM_REFERENCE,"Serie anual reconstruida 2022-2026; 2023-2026 del bloque Fuera, 2022 del bloque histórico España",Residuos_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
