category,factor_id,geography,iso3,subcategory,activity,variant,technology_fuel_material,destination_origin_supplier,input_unit,activity_year,activity_year_scope,factor_year,factor_value,factor_unit,temporal_type,factor_version,source,source_detail,source_url,is_temporal_fallback,is_geographic_proxy,quality_status,notes,source_workbook,source_sheet
Materiales y productos,MAT_52CBCAFBE85CB8,TODOS,,Papel,Papel,,,Reciclado (Circuito cerrado),kg,2023,,2023,1.04431834,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_8CD0359A2F93B9,TODOS,,Papel,Papel,,,Reciclado (Circuito cerrado),kg,2024,,2024,1.0500779,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_A4C966782C3AF2,TODOS,,Papel,Papel,,,Reciclado (Circuito cerrado),kg,2025,,2025,1.04859114,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_8B31F994CB958A,TODOS,,Papel,Papel,,,Reciclado (Circuito cerrado),kg,2026,,2026,1.04859114,kgCO2e/kg,ANNUAL,DEFRA 2026,CATEGORÍA MATERIALES Y PRODUCTOS_PAPEL_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PAPEL_FE · FE explícito,,FALSE,FALSE,,DEFRA 2026 exacto; se corrige la cabecera temporal de la referencia.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_1D31969C0F341D,TODOS,,"Pilas, baterías","Pilas, baterías",Pila/batería Alcalina,,Producción de materia prima,kg,2022,,2022,4.633478,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PILAS Y BATERÍAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PILAS BATERÍAS_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_6DB9D72C16DC67,TODOS,,"Pilas, baterías","Pilas, baterías",Pila/batería Alcalina,,Producción de materia prima,kg,2023,,2023,4.633478,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PILAS Y BATERÍAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PILAS BATERÍAS_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_889FBA839F3D73,TODOS,,"Pilas, baterías","Pilas, baterías",Pila/batería Alcalina,,Producción de materia prima,kg,2024,,2024,4.633478,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PILAS Y BATERÍAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PILAS BATERÍAS_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_8AA7B07D6179BC,TODOS,,"Pilas, baterías","Pilas, baterías",Pila/batería Alcalina,,Producción de materia prima,kg,2025,,2025,4.633478,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PILAS Y BATERÍAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PILAS BATERÍAS_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_B9708776662049,TODOS,,"Pilas, baterías","Pilas, baterías",Pila/batería Alcalina,,Producción de materia prima,kg,2026,,,4.633478,kgCO2e/kg,VERSIONED,Versión de la fuente incluida en el fichero de origen,CATEGORÍA MATERIALES Y PRODUCTOS_PILAS Y BATERÍAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PILAS BATERÍAS_FE · FE explícito,,FALSE,FALSE,,Fuente versionada/no anual: aplicable a 2026 sin fingir factor_year.,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_93544DD79D175C,TODOS,,"Pilas, baterías","Pilas, baterías",Pila/batería de Ion de litio,,Producción de materia prima,kg,2022,,2022,6.308,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PILAS Y BATERÍAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PILAS BATERÍAS_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_555A9A02FDD261,TODOS,,"Pilas, baterías","Pilas, baterías",Pila/batería de Ion de litio,,Producción de materia prima,kg,2023,,2023,6.308,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PILAS Y BATERÍAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PILAS BATERÍAS_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
Materiales y productos,MAT_AE67A6C5D754E3,TODOS,,"Pilas, baterías","Pilas, baterías",Pila/batería de Ion de litio,,Producción de materia prima,kg,2024,,2024,6.308,kgCO2e/kg,ANNUAL,,CATEGORÍA MATERIALES Y PRODUCTOS_PILAS Y BATERÍAS_REGISTRO PARA CÁLCULO_TABLAS_FACTORES DE EMISIÓN.xlsx,PILAS BATERÍAS_FE · FE explícito,,FALSE,FALSE,,,Materiales_Base_Maestra_y_Contrato_V2_CORREGIDA.xlsx,Factores
